fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2021-01-02;Segovia;8723;71;1211;262;40004;41.166667,-4.0
2021-01-02;Soria;5913;14;760;181;42173;41.666667,-2.666667
2021-01-02;Valladolid;31729;70;4747;819;47186;41.583333,-4.666667
2021-01-01;Ávila;7440;40;1198;250;5019;40.616092,-4.929031
2021-01-01;Burgos;24558;46;2891;571;9059;42.383333,-3.666667
2021-01-01;León;22637;53;3559;859;24089;42.666667,-6.0
2021-01-01;Valladolid;31659;88;4745;818;47186;41.583333,-4.666667
2021-01-01;Soria;5899;16;760;181;42173;41.666667,-2.666667
2021-01-01;Palencia;9943;39;1226;269;34120;42.432128,-4.520647
2021-01-01;Salamanca;18934;44;2747;634;37274;40.833333,-6.0
2021-01-01;Segovia;8652;78;1211;262;40004;41.166667,-4.0
2021-01-01;Zamora;8836;21;1405;335;49275;41.75,-6.0
2020-12-31;Burgos;24512;51;2882;569;9059;42.383333,-3.666667
2020-12-31;Palencia;9904;44;1219;269;34120;42.432128,-4.520647
2020-12-31;Segovia;8574;68;1211;262;40004;41.166667,-4.0
2020-12-31;Soria;5883;11;759;181;42173;41.666667,-2.666667
2020-12-31;Ávila;7400;63;1197;249;5019;40.616092,-4.929031
2020-12-31;León;22584;108;3556;858;24089;42.666667,-6.0
2020-12-31;Salamanca;18890;58;2747;634;37274;40.833333,-6.0
2020-12-31;Valladolid;31571;130;4741;818;47186;41.583333,-4.666667
2020-12-31;Zamora;8815;18;1404;335;49275;41.75,-6.0
2020-12-30;Ávila;7337;27;1193;249;5019;40.616092,-4.929031
2020-12-30;Zamora;8797;28;1397;335;49275;41.75,-6.0
2020-12-30;León;22476;59;3546;858;24089;42.666667,-6.0
2020-12-30;Valladolid;31440;108;4723;816;47186;41.583333,-4.666667
2020-12-30;Burgos;24461;71;2865;566;9059;42.383333,-3.666667
2020-12-30;Palencia;9860;66;1204;265;34120;42.432128,-4.520647
2020-12-30;Salamanca;18832;76;2739;633;37274;40.833333,-6.0
2020-12-30;Segovia;8506;56;1210;262;40004;41.166667,-4.0
2020-12-30;Soria;5872;24;758;181;42173;41.666667,-2.666667
2020-12-29;Ávila;7310;30;1192;248;5019;40.616092,-4.929031
2020-12-29;Segovia;8450;41;1210;262;40004;41.166667,-4.0
2020-12-29;Zamora;8769;16;1393;333;49275;41.75,-6.0
2020-12-29;Burgos;24390;52;2847;564;9059;42.383333,-3.666667
2020-12-29;León;22417;52;3538;858;24089;42.666667,-6.0
2020-12-29;Palencia;9794;44;1196;264;34120;42.432128,-4.520647
2020-12-29;Salamanca;18756;39;2738;633;37274;40.833333,-6.0
2020-12-29;Soria;5848;10;757;181;42173;41.666667,-2.666667
2020-12-29;Valladolid;31332;74;4714;815;47186;41.583333,-4.666667
2020-12-28;Burgos;24338;27;2840;563;9059;42.383333,-3.666667
2020-12-28;León;22365;15;3528;857;24089;42.666667,-6.0
2020-12-28;Segovia;8409;33;1209;262;40004;41.166667,-4.0
2020-12-28;Soria;5838;3;752;180;42173;41.666667,-2.666667
2020-12-28;Ávila;7280;7;1190;248;5019;40.616092,-4.929031
2020-12-28;Valladolid;31258;24;4711;814;47186;41.583333,-4.666667
2020-12-28;Zamora;8753;5;1387;331;49275;41.75,-6.0
2020-12-28;Palencia;9750;22;1181;261;34120;42.432128,-4.520647
2020-12-28;Salamanca;18717;16;2733;633;37274;40.833333,-6.0
2020-12-27;Palencia;9728;22;1179;259;34120;42.432128,-4.520647
2020-12-27;Soria;5835;3;750;179;42173;41.666667,-2.666667
2020-12-27;Ávila;7273;17;1189;247;5019;40.616092,-4.929031
2020-12-27;Burgos;24311;28;2836;561;9059;42.383333,-3.666667
2020-12-27;Segovia;8376;26;1209;262;40004;41.166667,-4.0
2020-12-27;Valladolid;31234;27;4709;812;47186;41.583333,-4.666667
2020-12-27;León;22350;23;3524;853;24089;42.666667,-6.0
2020-12-27;Salamanca;18701;20;2732;632;37274;40.833333,-6.0
2020-12-27;Zamora;8748;10;1386;330;49275;41.75,-6.0
2020-12-26;Burgos;24283;15;2825;561;9059;42.383333,-3.666667
2020-12-26;Salamanca;18681;11;2731;631;37274;40.833333,-6.0
2020-12-26;Soria;5832;1;748;178;42173;41.666667,-2.666667
2020-12-26;Ávila;7256;4;1188;246;5019;40.616092,-4.929031
2020-12-26;León;22327;3;3520;851;24089;42.666667,-6.0
2020-12-26;Palencia;9706;16;1175;258;34120;42.432128,-4.520647
2020-12-26;Segovia;8350;12;1209;262;40004;41.166667,-4.0
2020-12-26;Valladolid;31207;23;4708;811;47186;41.583333,-4.666667
2020-12-26;Zamora;8738;5;1385;329;49275;41.75,-6.0
2020-12-25;Soria;5831;11;747;177;42173;41.666667,-2.666667
2020-12-25;León;22324;31;3518;850;24089;42.666667,-6.0
2020-12-25;Palencia;9690;30;1172;255;34120;42.432128,-4.520647
2020-12-25;Salamanca;18670;24;2729;629;37274;40.833333,-6.0
2020-12-25;Segovia;8338;24;1209;262;40004;41.166667,-4.0
2020-12-25;Ávila;7252;8;1186;245;5019;40.616092,-4.929031
2020-12-25;Burgos;24268;30;2823;560;9059;42.383333,-3.666667
2020-12-25;Valladolid;31184;33;4704;810;47186;41.583333,-4.666667
2020-12-25;Zamora;8733;1;1382;326;49275;41.75,-6.0
2020-12-24;Burgos;24238;49;2818;560;9059;42.383333,-3.666667
2020-12-24;Segovia;8314;28;1209;262;40004;41.166667,-4.0
2020-12-24;Zamora;8732;23;1381;325;49275;41.75,-6.0
2020-12-24;Salamanca;18646;26;2722;624;37274;40.833333,-6.0
2020-12-24;Soria;5820;10;746;176;42173;41.666667,-2.666667
2020-12-24;Valladolid;31151;73;4697;808;47186;41.583333,-4.666667
2020-12-24;Ávila;7244;13;1186;245;5019;40.616092,-4.929031
2020-12-24;León;22293;58;3508;846;24089;42.666667,-6.0
2020-12-24;Palencia;9660;43;1166;254;34120;42.432128,-4.520647
2020-12-23;Ávila;7231;6;1182;245;5019;40.616092,-4.929031
2020-12-23;Salamanca;18619;26;2718;624;37274;40.833333,-6.0
2020-12-23;Segovia;8286;19;1208;262;40004;41.166667,-4.0
2020-12-23;Valladolid;31078;61;4680;808;47186;41.583333,-4.666667
2020-12-23;León;22233;85;3499;844;24089;42.666667,-6.0
2020-12-23;Palencia;9617;31;1161;252;34120;42.432128,-4.520647
2020-12-23;Burgos;24188;70;2798;558;9059;42.383333,-3.666667
2020-12-23;Soria;5810;6;743;175;42173;41.666667,-2.666667
2020-12-23;Zamora;8709;9;1369;324;49275;41.75,-6.0
2020-12-22;Segovia;8267;16;1207;262;40004;41.166667,-4.0
2020-12-22;Valladolid;31016;68;4654;805;47186;41.583333,-4.666667
2020-12-22;Burgos;24118;34;2777;555;9059;42.383333,-3.666667
2020-12-22;Zamora;8699;14;1359;321;49275;41.75,-6.0
2020-12-22;Ávila;7225;8;1180;245;5019;40.616092,-4.929031
2020-12-22;León;22148;35;3482;842;24089;42.666667,-6.0
2020-12-22;Palencia;9586;41;1148;251;34120;42.432128,-4.520647
2020-12-22;Salamanca;18593;20;2715;624;37274;40.833333,-6.0
2020-12-22;Soria;5804;2;742;175;42173;41.666667,-2.666667
2020-12-21;Ávila;7217;6;1178;245;5019;40.616092,-4.929031
2020-12-21;León;22113;13;3463;839;24089;42.666667,-6.0
2020-12-21;Salamanca;18573;2;2712;624;37274;40.833333,-6.0
2020-12-21;Segovia;8251;19;1206;262;40004;41.166667,-4.0
2020-12-21;Valladolid;30947;14;4639;803;47186;41.583333,-4.666667
2020-12-21;Burgos;24084;18;2763;554;9059;42.383333,-3.666667
2020-12-21;Palencia;9545;10;1141;250;34120;42.432128,-4.520647
2020-12-21;Soria;5802;2;736;175;42173;41.666667,-2.666667
2020-12-21;Zamora;8685;0;1355;321;49275;41.75,-6.0
2020-12-20;Burgos;24066;38;2759;551;9059;42.383333,-3.666667
2020-12-20;Palencia;9535;32;1137;246;34120;42.432128,-4.520647
2020-12-20;Salamanca;18571;14;2711;624;37274;40.833333,-6.0
2020-12-20;Soria;5800;7;736;175;42173;41.666667,-2.666667
2020-12-20;Zamora;8685;5;1353;321;49275;41.75,-6.0
2020-12-20;Ávila;7211;4;1178;245;5019;40.616092,-4.929031
2020-12-20;León;22100;44;3461;836;24089;42.666667,-6.0
2020-12-20;Valladolid;30933;24;4636;803;47186;41.583333,-4.666667
2020-12-20;Segovia;8232;20;1206;262;40004;41.166667,-4.0
2020-12-19;Ávila;7207;18;1177;244;5019;40.616092,-4.929031
2020-12-19;Burgos;24028;74;2753;549;9059;42.383333,-3.666667
2020-12-19;Palencia;9503;60;1136;245;34120;42.432128,-4.520647
2020-12-19;Zamora;8680;15;1351;320;49275;41.75,-6.0
2020-12-19;León;22056;80;3458;835;24089;42.666667,-6.0
2020-12-19;Salamanca;18557;8;2709;622;37274;40.833333,-6.0
2020-12-19;Segovia;8212;15;1206;262;40004;41.166667,-4.0
2020-12-19;Soria;5793;1;736;175;42173;41.666667,-2.666667
2020-12-19;Valladolid;30909;51;4632;803;47186;41.583333,-4.666667
2020-12-18;León;21975;76;3447;834;24089;42.666667,-6.0
2020-12-18;Salamanca;18549;24;2702;621;37274;40.833333,-6.0
2020-12-18;Palencia;9443;47;1120;245;34120;42.432128,-4.520647
2020-12-18;Segovia;8197;13;1203;262;40004;41.166667,-4.0
2020-12-18;Ávila;7189;12;1172;243;5019;40.616092,-4.929031
2020-12-18;Burgos;23953;55;2731;546;9059;42.383333,-3.666667
2020-12-18;Soria;5792;9;734;174;42173;41.666667,-2.666667
2020-12-18;Valladolid;30858;33;4607;800;47186;41.583333,-4.666667
2020-12-18;Zamora;8665;20;1334;315;49275;41.75,-6.0
2020-12-17;Zamora;8645;30;1328;313;49275;41.75,-6.0
2020-12-17;Ávila;7177;16;1172;243;5019;40.616092,-4.929031
2020-12-17;León;21899;72;3437;832;24089;42.666667,-6.0
2020-12-17;Salamanca;18525;54;2696;620;37274;40.833333,-6.0
2020-12-17;Segovia;8184;24;1201;262;40004;41.166667,-4.0
2020-12-17;Burgos;23898;80;2715;544;9059;42.383333,-3.666667
2020-12-17;Palencia;9396;79;1112;243;34120;42.432128,-4.520647
2020-12-17;Soria;5783;7;732;173;42173;41.666667,-2.666667
2020-12-17;Valladolid;30825;47;4587;797;47186;41.583333,-4.666667
2020-12-16;Salamanca;18471;78;2683;619;37274;40.833333,-6.0
2020-12-16;Zamora;8615;64;1322;312;49275;41.75,-6.0
2020-12-16;Ávila;7161;15;1168;243;5019;40.616092,-4.929031
2020-12-16;Valladolid;30778;100;4576;793;47186;41.583333,-4.666667
2020-12-16;Burgos;23818;90;2694;541;9059;42.383333,-3.666667
2020-12-16;León;21827;76;3421;829;24089;42.666667,-6.0
2020-12-16;Palencia;9317;57;1099;239;34120;42.432128,-4.520647
2020-12-16;Segovia;8160;14;1199;262;40004;41.166667,-4.0
2020-12-16;Soria;5776;8;731;173;42173;41.666667,-2.666667
2020-12-15;Ávila;7146;14;1166;242;5019;40.616092,-4.929031
2020-12-15;Salamanca;18393;73;2671;617;37274;40.833333,-6.0
2020-12-15;Soria;5768;5;729;173;42173;41.666667,-2.666667
2020-12-15;Zamora;8551;21;1317;307;49275;41.75,-6.0
2020-12-15;Burgos;23726;87;2680;539;9059;42.383333,-3.666667
2020-12-15;León;21751;63;3416;826;24089;42.666667,-6.0
2020-12-15;Valladolid;30677;68;4555;792;47186;41.583333,-4.666667
2020-12-15;Segovia;8146;17;1196;261;40004;41.166667,-4.0
2020-12-15;Palencia;9260;31;1087;237;34120;42.432128,-4.520647
2020-12-14;Zamora;8530;8;1311;306;49275;41.75,-6.0
2020-12-14;Burgos;23639;40;2662;535;9059;42.383333,-3.666667
2020-12-14;Segovia;8129;15;1194;261;40004;41.166667,-4.0
2020-12-14;Ávila;7132;3;1161;242;5019;40.616092,-4.929031
2020-12-14;León;21688;21;3411;824;24089;42.666667,-6.0
2020-12-14;Palencia;9229;19;1080;237;34120;42.432128,-4.520647
2020-12-14;Salamanca;18320;4;2665;617;37274;40.833333,-6.0
2020-12-14;Soria;5763;7;727;173;42173;41.666667,-2.666667
2020-12-14;Valladolid;30607;14;4527;789;47186;41.583333,-4.666667
2020-12-13;Ávila;7129;2;1161;242;5019;40.616092,-4.929031
2020-12-13;Palencia;9210;35;1077;234;34120;42.432128,-4.520647
2020-12-13;Zamora;8522;15;1310;305;49275;41.75,-6.0
2020-12-13;León;21667;50;3409;822;24089;42.666667,-6.0
2020-12-13;Segovia;8114;8;1194;260;40004;41.166667,-4.0
2020-12-13;Burgos;23599;53;2651;530;9059;42.383333,-3.666667
2020-12-13;Salamanca;18316;9;2664;617;37274;40.833333,-6.0
2020-12-13;Soria;5756;12;726;173;42173;41.666667,-2.666667
2020-12-13;Valladolid;30593;42;4525;787;47186;41.583333,-4.666667
2020-12-12;León;21617;51;3403;818;24089;42.666667,-6.0
2020-12-12;Salamanca;18307;23;2663;616;37274;40.833333,-6.0
2020-12-12;Segovia;8106;17;1192;259;40004;41.166667,-4.0
2020-12-12;Soria;5744;11;726;173;42173;41.666667,-2.666667
2020-12-12;Zamora;8507;44;1307;303;49275;41.75,-6.0
2020-12-12;Palencia;9175;57;1074;232;34120;42.432128,-4.520647
2020-12-12;Valladolid;30551;135;4522;787;47186;41.583333,-4.666667
2020-12-12;Ávila;7127;10;1160;241;5019;40.616092,-4.929031
2020-12-12;Burgos;23546;158;2632;525;9059;42.383333,-3.666667
2020-12-11;Palencia;9118;112;1059;229;34120;42.432128,-4.520647
2020-12-11;Soria;5732;18;720;171;42173;41.666667,-2.666667
2020-12-11;Ávila;7117;15;1153;241;5019;40.616092,-4.929031
2020-12-11;Burgos;23388;148;2600;516;9059;42.383333,-3.666667
2020-12-11;Salamanca;18284;37;2649;613;37274;40.833333,-6.0
2020-12-11;Segovia;8089;18;1190;258;40004;41.166667,-4.0
2020-12-11;León;21566;68;3382;816;24089;42.666667,-6.0
2020-12-11;Valladolid;30415;176;4503;786;47186;41.583333,-4.666667
2020-12-11;Zamora;8463;47;1300;303;49275;41.75,-6.0
2020-12-10;León;21498;68;3358;813;24089;42.666667,-6.0
2020-12-10;Valladolid;30236;121;4473;781;47186;41.583333,-4.666667
2020-12-10;Ávila;7102;22;1151;240;5019;40.616092,-4.929031
2020-12-10;Burgos;23238;133;2586;515;9059;42.383333,-3.666667
2020-12-10;Soria;5714;3;718;171;42173;41.666667,-2.666667
2020-12-10;Zamora;8416;29;1293;302;49275;41.75,-6.0
2020-12-10;Palencia;9005;44;1049;227;34120;42.432128,-4.520647
2020-12-10;Salamanca;18247;32;2641;613;37274;40.833333,-6.0
2020-12-10;Segovia;8071;23;1186;256;40004;41.166667,-4.0
2020-12-09;Ávila;7080;5;1146;240;5019;40.616092,-4.929031
2020-12-09;León;21430;19;3345;813;24089;42.666667,-6.0
2020-12-09;Palencia;8961;27;1041;225;34120;42.432128,-4.520647
2020-12-09;Burgos;23105;37;2570;510;9059;42.383333,-3.666667
2020-12-09;Salamanca;18215;2;2635;612;37274;40.833333,-6.0
2020-12-09;Segovia;8048;9;1186;256;40004;41.166667,-4.0
2020-12-09;Soria;5711;6;711;169;42173;41.666667,-2.666667
2020-12-09;Valladolid;30112;31;4456;780;47186;41.583333,-4.666667
2020-12-09;Zamora;8387;6;1282;302;49275;41.75,-6.0
2020-12-08;León;21411;22;3337;808;24089;42.666667,-6.0
2020-12-08;Segovia;8039;11;1186;255;40004;41.166667,-4.0
2020-12-08;Ávila;7075;4;1145;240;5019;40.616092,-4.929031
2020-12-08;Valladolid;30081;55;4452;778;47186;41.583333,-4.666667
2020-12-08;Burgos;23068;62;2549;504;9059;42.383333,-3.666667
2020-12-08;Palencia;8934;54;1038;223;34120;42.432128,-4.520647
